epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2025.08,0.9756,0.47446,0.87423,0.93638,0.92293,0.95023,0.64925,1.06299,0.47158,0.90317,0.000848969,0.000848969,0.000848969
43,2074.36,0.97336,0.48369,0.87754,0.95237,0.93547,0.96082,0.65016,1.06762,0.46988,0.90199,0.000834822,0.000834822,0.000834822
44,2121.82,0.9868,0.48129,0.88505,0.95119,0.90993,0.9526,0.65215,1.05702,0.47555,0.90138,0.000820675,0.000820675,0.000820675
45,2170.83,0.94168,0.46721,0.87622,0.93422,0.93073,0.9489,0.64332,1.06335,0.46456,0.90007,0.000806528,0.000806528,0.000806528
46,2218.16,0.96437,0.47488,0.88598,0.9529,0.92047,0.95855,0.64078,1.08726,0.47545,0.90251,0.00079238,0.00079238,0.00079238
47,2266.6,0.94546,0.47937,0.87307,0.93566,0.9089,0.95166,0.65114,1.07351,0.47427,0.89769,0.000778233,0.000778233,0.000778233
48,2314.24,0.96275,0.47575,0.88311,0.9404,0.92787,0.95329,0.65364,1.04841,0.45352,0.89642,0.000764086,0.000764086,0.000764086
49,2362.36,0.95769,0.4781,0.87448,0.93223,0.92834,0.95427,0.66193,1.06053,0.48172,0.89824,0.000749939,0.000749939,0.000749939
50,2411.19,0.93916,0.47631,0.87361,0.93392,0.93088,0.95679,0.66268,1.03895,0.46038,0.89652,0.000735792,0.000735792,0.000735792
51,2460.49,0.93491,0.46265,0.86879,0.94009,0.92015,0.95481,0.65425,1.06461,0.47353,0.89974,0.000721645,0.000721645,0.000721645
52,2507.88,0.96589,0.47527,0.87554,0.94338,0.92921,0.95968,0.65861,1.07298,0.47093,0.90371,0.000707498,0.000707498,0.000707498
53,2556.04,0.94442,0.47175,0.86438,0.94042,0.93337,0.95666,0.6419,1.06938,0.47995,0.89729,0.000693351,0.000693351,0.000693351
54,2604.39,0.90779,0.45032,0.86243,0.94542,0.92837,0.95518,0.65398,1.04812,0.46919,0.89594,0.000679204,0.000679204,0.000679204
55,2654.12,0.94807,0.46441,0.87373,0.94303,0.92909,0.95449,0.65048,1.05741,0.46762,0.89935,0.000665057,0.000665057,0.000665057
56,2703.01,0.97071,0.48953,0.88741,0.9376,0.9262,0.95411,0.66209,1.0532,0.46524,0.89312,0.000650909,0.000650909,0.000650909
57,2751.29,0.94582,0.46874,0.86732,0.9476,0.93721,0.96356,0.66983,1.03226,0.4586,0.8875,0.000636762,0.000636762,0.000636762
58,2799.89,0.903,0.4471,0.86304,0.94902,0.93477,0.96033,0.6601,1.04855,0.44968,0.89685,0.000622615,0.000622615,0.000622615
59,2848.36,0.95558,0.46392,0.87848,0.95373,0.94105,0.96426,0.66697,1.04278,0.46108,0.89165,0.000608468,0.000608468,0.000608468
60,2897.25,0.93312,0.46884,0.87659,0.94333,0.93541,0.96005,0.66578,1.046,0.45593,0.89468,0.000594321,0.000594321,0.000594321
61,2945.45,0.90225,0.44826,0.86161,0.95213,0.94369,0.96197,0.6655,1.03705,0.45286,0.88756,0.000580174,0.000580174,0.000580174
62,2993.12,0.92291,0.46026,0.87333,0.94412,0.94184,0.96099,0.66117,1.03713,0.4489,0.88995,0.000566027,0.000566027,0.000566027
63,3041.14,0.91006,0.44373,0.86473,0.95605,0.9375,0.96201,0.65799,1.05668,0.45535,0.89393,0.00055188,0.00055188,0.00055188
64,3089.18,0.90323,0.44742,0.86211,0.95425,0.93665,0.96469,0.67321,1.03788,0.4459,0.89179,0.000537733,0.000537733,0.000537733
65,3136.34,0.88637,0.4373,0.85797,0.95424,0.93529,0.96049,0.66811,1.04596,0.44504,0.89214,0.000523586,0.000523586,0.000523586
66,3184.23,0.90123,0.44763,0.86816,0.95183,0.94536,0.96389,0.66628,1.0493,0.45373,0.89023,0.000509438,0.000509438,0.000509438
67,3230.56,0.90121,0.4435,0.863,0.94618,0.93747,0.96136,0.67253,1.03897,0.45099,0.89065,0.000495291,0.000495291,0.000495291
68,3278.59,0.88751,0.42858,0.85679,0.94724,0.93812,0.96444,0.67552,1.04126,0.44712,0.89133,0.000481144,0.000481144,0.000481144
69,3326.74,0.91662,0.44324,0.8608,0.9561,0.93345,0.96275,0.67362,1.04776,0.45114,0.89186,0.000466997,0.000466997,0.000466997
70,3374.38,0.91106,0.43854,0.86275,0.94684,0.93427,0.96259,0.67495,1.03008,0.4515,0.88855,0.00045285,0.00045285,0.00045285
71,3421.44,0.90587,0.43721,0.86577,0.95424,0.93522,0.96474,0.68345,1.02311,0.45433,0.88567,0.000438703,0.000438703,0.000438703
72,3468.55,0.88587,0.42937,0.85635,0.95213,0.93505,0.96383,0.68143,1.03532,0.4511,0.88947,0.000424556,0.000424556,0.000424556
73,3515.56,0.87114,0.41767,0.85431,0.95322,0.93061,0.96474,0.68038,1.03624,0.4461,0.8929,0.000410409,0.000410409,0.000410409
74,3563.14,0.87801,0.42427,0.85319,0.95737,0.93332,0.96499,0.68546,1.01649,0.43548,0.88852,0.000396262,0.000396262,0.000396262
75,3612.35,0.86272,0.42289,0.85566,0.95529,0.94328,0.96679,0.68041,1.0236,0.44738,0.89051,0.000382115,0.000382115,0.000382115
76,3661.55,0.87184,0.42982,0.85406,0.94276,0.93616,0.96216,0.68011,1.02423,0.44038,0.89164,0.000367967,0.000367967,0.000367967
77,3710.1,0.86823,0.42589,0.85239,0.95243,0.94397,0.96681,0.67582,1.03473,0.44601,0.88982,0.00035382,0.00035382,0.00035382
78,3757.19,0.85548,0.427,0.8565,0.95083,0.93496,0.9608,0.67487,1.023,0.44574,0.88622,0.000339673,0.000339673,0.000339673
79,3803.67,0.88889,0.43415,0.86787,0.95799,0.93913,0.9657,0.67803,1.01954,0.43701,0.88827,0.000325526,0.000325526,0.000325526
80,3851.25,0.86661,0.41704,0.85703,0.95103,0.94229,0.96793,0.69015,1.0128,0.43269,0.88777,0.000311379,0.000311379,0.000311379
81,3899.09,0.85803,0.41641,0.8543,0.95733,0.93436,0.96519,0.68405,1.01722,0.43875,0.88691,0.000297232,0.000297232,0.000297232
82,3946.83,0.85493,0.41242,0.85598,0.95933,0.94022,0.96773,0.68107,1.02555,0.44404,0.89125,0.000283085,0.000283085,0.000283085
83,3994.25,0.84409,0.40654,0.85553,0.95741,0.93584,0.96396,0.68108,1.02928,0.43095,0.8894,0.000268938,0.000268938,0.000268938
84,4041.95,0.83072,0.40106,0.85241,0.9562,0.93845,0.96523,0.68543,1.01663,0.43591,0.88594,0.000254791,0.000254791,0.000254791
85,4090.2,0.8384,0.40324,0.84679,0.95676,0.93847,0.96593,0.68405,1.01631,0.43627,0.88793,0.000240644,0.000240644,0.000240644
86,4139.13,0.83282,0.40145,0.84763,0.95712,0.94171,0.96898,0.69162,1.01014,0.43087,0.88595,0.000226497,0.000226497,0.000226497
87,4187.2,0.83141,0.40182,0.85666,0.95898,0.93959,0.96646,0.68768,1.00797,0.42654,0.88515,0.000212349,0.000212349,0.000212349
